feature,importance,rank,selected
ATSC5pe,0.0005559576,516,False
MPC7,0.0005528444,486,False
ATSC4i,0.0005471551,244,False
ATSC1d,0.00052913354,392,False
nAtom,0.0005278365,475,False
MATS2dv,0.00052582094,223,False
ATSC0se,0.00052573375,183,False
ATS7dv,0.0005240227,308,False
TIC2,0.00051103253,447,False
ATS8se,0.00048620452,178,False
AATS2dv,0.00046628335,284,False
ATS3s,0.0004646304,379,False
TIC3,0.0004213916,396,False
Xch-5dv,0.00041317567,157,False
nC,0.00041204557,457,False
ATS6i,0.00040954966,241,False
AATSC0pe,0.0003927702,203,False
MATS1d,0.00037857337,437,False
ATS6Z,0.00037697313,211,False
TopoShapeIndex,0.00030887342,599,False
SlogP_VSA4,0.00030319148,301,False
SMR,0.0002969692,444,False
ABC,0.00028222598,543,False
SaasC,0.00027735246,330,False
ATS7Z,0.00026518776,288,False
Xp-4dv,0.0002569137,191,False
AATS2i,0.00023920152,122,False
ATSC8pe,0.00023289704,402,False
ATS2i,0.00022917177,314,False
JGI8,0.00022058195,403,False
ATS2p,0.00020609335,323,False
IC4,0.00020359184,133,False
ATSC5se,0.0002026272,318,False
AATSC0Z,0.00019269786,30,False
SIC3,0.0001863425,273,False
ATS5dv,0.00010509844,98,False
ABCGG,5.0885643e-05,470,False
SaaaC,4.3260392e-05,503,False
ATS6dv,1.8336204e-05,108,False
n10ARing,0.0,719,False
n10FAHRing,0.0,719,False
nFHRing,0.0,465,False
nFARing,0.0,719,False
mZagreb2,0.0,433,False
n10FHRing,0.0,719,False
n10AHRing,0.0,719,False
nFAHRing,0.0,719,False
nBr,0.0,607,False
nG12AHRing,0.0,719,False
nCl,0.0,719,False
nFaHRing,0.0,496,False
nF,0.0,588,False
n10FARing,0.0,719,False
nFRing,0.0,520,False
n8ARing,0.0,719,False
nG12ARing,0.0,719,False
nI,0.0,719,False
Xp-1d,0.0,515,False
Xp-0d,0.0,440,False
nHeavyAtom,0.0,573,False
Xch-5d,0.0,431,False
Xch-4dv,0.0,719,False
Xch-4d,0.0,719,False
Xch-3dv,0.0,607,False
Xc-6dv,0.0,268,False
nG12aRing,0.0,719,False
AATS1Z,0.0,94,False
Xc-5d,0.0,426,False
nRing,0.0,553,False
nSpiro,0.0,719,False
naRing,0.0,573,False
AATS0pe,0.0,219,False
AATS0d,0.0,247,False
Xp-2d,0.0,531,False
nG12aHRing,0.0,719,False
apol,0.0,479,False
Xpc-5dv,0.0,246,False
Zagreb2,0.0,565,False
Zagreb1,0.0,607,False
nG12FAHRing,0.0,719,False
nG12FHRing,0.0,599,False
AATS2pe,0.0,211,False
ZMIC0,0.0,524,False
nG12FRing,0.0,599,False
Xpc-5d,0.0,334,False
Xp-4d,0.0,233,False
nG12FaHRing,0.0,719,False
AATS2s,0.0,250,False
nBondsT,0.0,573,False
Xp-7d,0.0,429,False
nG12HRing,0.0,719,False
nG12Ring,0.0,719,False
AATS2v,0.0,153,False
nG12FaRing,0.0,719,False
nBondsO,0.0,582,False
